,mean_abs_error_2020-06-22_2020-11-07,mean_abs_error_2020-06-29_2020-11-07,mean_abs_error_2020-07-06_2020-11-07,mean_abs_error_2020-07-13_2020-11-07,mean_abs_error_2020-07-20_2020-11-07,mean_abs_error_2020-07-27_2020-11-07,mean_abs_error_2020-08-03_2020-11-07,mean_abs_error_2020-08-10_2020-11-07,mean_abs_error_2020-08-17_2020-11-07,mean_abs_error_2020-08-24_2020-11-07,mean_abs_error_2020-08-31_2020-11-07,mean_abs_error_2020-09-07_2020-11-07,mean_abs_error_2020-09-14_2020-11-07,mean_abs_error_2020-09-21_2020-11-07,mean_abs_error_2020-09-28_2020-11-07,mean_abs_error_2020-10-05_2020-11-07,mean_abs_error_2020-10-12_2020-11-07,mean_abs_error_2020-10-19_2020-11-07,mean_abs_error_2020-10-26_2020-11-07,mean_abs_error_2020-11-02_2020-11-07,mean_sq_abs_error_2020-06-22_2020-11-07,mean_sq_abs_error_2020-06-29_2020-11-07,mean_sq_abs_error_2020-07-06_2020-11-07,mean_sq_abs_error_2020-07-13_2020-11-07,mean_sq_abs_error_2020-07-20_2020-11-07,mean_sq_abs_error_2020-07-27_2020-11-07,mean_sq_abs_error_2020-08-03_2020-11-07,mean_sq_abs_error_2020-08-10_2020-11-07,mean_sq_abs_error_2020-08-17_2020-11-07,mean_sq_abs_error_2020-08-24_2020-11-07,mean_sq_abs_error_2020-08-31_2020-11-07,mean_sq_abs_error_2020-09-07_2020-11-07,mean_sq_abs_error_2020-09-14_2020-11-07,mean_sq_abs_error_2020-09-21_2020-11-07,mean_sq_abs_error_2020-09-28_2020-11-07,mean_sq_abs_error_2020-10-05_2020-11-07,mean_sq_abs_error_2020-10-12_2020-11-07,mean_sq_abs_error_2020-10-19_2020-11-07,mean_sq_abs_error_2020-10-26_2020-11-07,mean_sq_abs_error_2020-11-02_2020-11-07
CMU-TimeSeries,,,,,,,,,,,,,,,,,123.1,129.2,76.9,44.7,,,,,,,,,,,,,,,,,36539.7,46005.9,16058.2,7696.4
GT-DeepCOVID,,,,,,,,,,,,,,,,,135.6,115.1,78.4,42.7,,,,,,,,,,,,,,,,,45300.1,31429.3,16059.9,7642.3
Google_Harvard-CPF,,,,,,,,,,,,,,,,,133.0,102.8,75.5,48.9,,,,,,,,,,,,,,,,,41948.1,25755.0,18167.6,8796.9
JHU_IDD-CovidSP,,,,,,,,,,,,,,,200.5,181.4,157.8,138.4,108.4,69.5,,,,,,,,,,,,,,,86356.6,71340.0,54121.7,41557.1,27456.9,14616.1
CEID-Walk,,,,,,,,,,,,,,,,,135.5,131.1,74.6,44.5,,,,,,,,,,,,,,,,,42778.6,48074.1,14610.8,8553.2
UCLA-SuEIR,,,,,,,548.1,668.3,518.3,434.6,366.9,329.8,301.1,266.1,224.9,208.4,174.5,158.6,89.7,47.4,,,,,,,842356.3,1184508.8,566836.4,368807.8,259532.0,213812.6,180803.2,146300.9,99814.9,87529.2,64657.2,49737.8,17991.7,9410.9
Columbia_UNC-SurvCon,,,,,,,,,,,,,706.6,1694.2,751.4,291.4,149.3,124.0,85.5,46.1,,,,,,,,,,,,,1661826.0,53692210.3,7916822.2,335526.4,57081.9,45449.1,31422.0,7839.8
MIT_CritData-GBCF,,,,,,,,,,,,,,,,,154.3,102.7,79.8,47.3,,,,,,,,,,,,,,,,,58243.8,28541.2,19224.5,8972.7
UA-EpiCovDA,,,,,,,,,,,,,,,,,161.8,117.0,70.1,46.3,,,,,,,,,,,,,,,,,105501.2,38801.5,16347.8,8375.6
BPagano-RtDriven,,,,,,,,,,,,,,,,192.1,205.6,138.1,79.7,46.9,,,,,,,,,,,,,,,,69567.5,93145.7,68036.8,17744.5,8076.2
LANL-GrowthRate,,,,,,,,,,,,,,373.0,322.7,281.1,206.8,152.5,87.7,43.6,,,,,,,,,,,,,,263352.7,215945.7,173399.3,94010.2,47292.4,22458.3,8226.7
CovidAnalytics-DELPHI,,,,,,,,,,,,,,342.2,299.2,224.4,166.5,182.2,89.2,50.7,,,,,,,,,,,,,,214887.9,165263.9,102967.5,65950.5,66641.8,20431.4,9885.4
DDS-NBDS,,,,,,,,,,,,,,,,,235.5,113.0,77.7,47.8,,,,,,,,,,,,,,,,,209362.8,33979.6,16029.5,8907.7
MITCovAlliance-SIR,,,,,,,,,,,,,592.2,545.0,182.1,,,141.9,,,,,,,,,,,,,,,1643449.7,1433545.6,88053.2,,,47395.7,,
UMich-RidgeTfReg,,,,,,,,,,,,,,,,,162.7,131.7,79.7,49.9,,,,,,,,,,,,,,,,,60392.2,42841.0,15736.4,8432.5
NotreDame-mobility,,,,,,,,,,,,,,,364.0,239.0,202.8,152.1,97.0,57.7,,,,,,,,,,,,,,,464861.9,130668.2,89432.7,52636.8,25257.0,11691.8
UT-Mobility,,,,,,,,,,,,,,,,,202.6,139.0,76.4,50.1,,,,,,,,,,,,,,,,,109064.4,61652.0,18054.0,9928.1
PSI-DRAFT,,,,,,,,,,,,,,,266.8,256.2,215.3,176.5,111.0,60.0,,,,,,,,,,,,,,,155947.5,133779.2,97924.0,68587.3,36152.4,12828.9
JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,,114.6,89.0,69.9,,,,,,,,,,,,,,,,,,39111.0,24649.3,20574.5
IQVIA_ACOE-STAN,,,,,,,,,,,,,,,,,,,83.8,46.4,,,,,,,,,,,,,,,,,,,15897.4,8041.5
epiforecasts-ensemble1,,,,,,,,,,,,,,,,,191.2,139.8,97.8,65.7,,,,,,,,,,,,,,,,,149641.4,59287.3,33804.6,18771.1
RobertWalraven-ESG,,,,,,,,,,,,,588.9,519.7,458.8,328.2,276.2,131.1,160.2,110.6,,,,,,,,,,,,,754768.5,658083.0,462210.6,188462.1,132976.3,41808.4,53495.8,29322.6
Caltech-CS156,,,,,,,,,,,,,,,,,,,,43.3,,,,,,,,,,,,,,,,,,,,7820.0
IHME-CurveFit,1210.2,1062.2,809.6,,828.6,667.1,653.7,759.1,,868.7,842.8,696.8,,350.2,379.6,,,140.9,128.2,,5777566.0,2981219.3,1603845.4,,1634806.6,836300.3,1480864.8,2040255.9,,4842786.8,3179651.0,1627357.2,,379538.0,566354.6,,,55754.8,57065.5,
UCSB-ACTS,,,,,,,,,,,,,,,,,,,104.7,48.7,,,,,,,,,,,,,,,,,,,27190.8,8711.2
USACE-ERDC_SEIR,,,,,,,,,,,,,481.9,436.8,346.9,,279.1,,170.2,,,,,,,,,,,,,,632910.5,510042.4,361505.6,,250457.6,,93303.9,
JHU_UNC_GAS-StatMechPool,,,,,,,,,,,,,,,,,,,98.7,55.5,,,,,,,,,,,,,,,,,,,39037.7,13002.5
WalmartLabsML-LogForecasting,,,,,,,,,,,,,547.3,462.9,396.4,341.3,283.5,204.1,163.2,105.2,,,,,,,,,,,,,601405.8,432337.7,309934.3,237212.0,167899.4,92126.0,57216.9,30335.7
USC-SI_kJalpha_RF,,,,,,,,,,,,,,,,,,,,47.4,,,,,,,,,,,,,,,,,,,,8812.0
Geneva-DetGrowth,,,,,,,,,,,,,,,,,,,,58.0,,,,,,,,,,,,,,,,,,,,11276.3
TTU-squider,,,,,,,,,,,,,,,,,448.7,435.4,233.8,248.5,,,,,,,,,,,,,,,,,810045.0,693756.3,186339.4,328285.5
