,perc_error_2020-09-21_2021-03-06,perc_error_2020-09-28_2021-03-06,perc_error_2020-10-05_2021-03-06,perc_error_2020-10-12_2021-03-06,perc_error_2020-10-19_2021-03-06,perc_error_2020-10-26_2021-03-06,perc_error_2020-11-02_2021-03-06,perc_error_2020-11-09_2021-03-06,perc_error_2020-11-16_2021-03-06,perc_error_2020-11-23_2021-03-06,perc_error_2020-11-30_2021-03-06,perc_error_2020-12-07_2021-03-06,perc_error_2020-12-14_2021-03-06,perc_error_2020-12-21_2021-03-06,perc_error_2020-12-28_2021-03-06,perc_error_2021-01-04_2021-03-06,perc_error_2021-01-11_2021-03-06,perc_error_2021-01-18_2021-03-06,perc_error_2021-01-25_2021-03-06,perc_error_2021-02-01_2021-03-06,perc_error_2021-02-08_2021-03-06,perc_error_2021-02-15_2021-03-06,perc_error_2021-02-22_2021-03-06,perc_error_2021-03-01_2021-03-06
COVIDhub-baseline,,,,,,,,,,,,,,,,,0.221,0.343,0.298,0.423,0.607,0.705,-0.011,0.176
JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,,,,,,0.271,-0.030,-0.032
COVIDhub-ensemble,,,,,,,,,,,,,,,,,,,,,0.185,0.212,-0.163,-0.094
UMich-RidgeTfReg,,,,,,,,,,,,,,,,,,,,,0.254,0.264,-0.108,-0.086
UpstateSU-GRU,,,,,,,,,,,,,,,,,,,,,0.178,0.252,-0.123,-0.144
CU-select,,,,,,,,,,,,,,,,,,,,,-0.052,-0.126,-0.215,-0.184
LNQ-ens1,,,,,,,,,,,,,,,,,,,,,0.259,0.369,-0.171,-0.003
IBF-TimeSeries,,,,,,,,,,,,,,,,,0.361,0.440,0.397,0.547,0.441,0.580,0.131,0.079
Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,,,,,0.453,0.389,-0.126,-0.013
MIT_CritData-GBCF,,,,,,,,,,,,,,,,,,,,,0.420,0.511,-0.094,-0.042
Covid19Sim-Simulator,,,,,-0.817,-0.028,-0.094,0.276,,0.183,0.010,0.288,0.082,0.007,-0.053,0.170,0.034,-0.087,0.429,0.067,-0.177,-0.335,-0.469,-1.144
RobertWalraven-ESG,,,,,,,,,,,,,,,,,,,,,0.201,0.135,-0.187,-0.232
BPagano-RtDriven,,,,,,,,,,,,,,,,,,,,,0.238,0.241,-0.143,-0.176
RPI_UW-Mob_Collision,,,,,,,,,,,,,,,,,,,,,0.436,0.400,0.003,-0.241
COVIDhub-trained_ensemble,,,,,,,,,,,,,,,,,,,,,0.146,0.735,-0.131,-0.179
CEID-Walk,,,,,,,,,,,,,,,,,,,,,0.620,0.708,-0.029,0.162
Caltech-CS156,,,,,,,,,,,,,,,,,,,,,0.182,,-0.163,-0.156
UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,,,,,,,0.568,1.075,1.348,0.074,0.147
SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,,,,,0.024,,-0.226,-0.248
GT-DeepCOVID,,,,,,,,,,,,,,,,,,,,,0.217,0.468,-0.335,0.128
AIpert-pwllnod,,,,,,,,,,,,,,,,,0.816,1.191,0.785,0.561,0.496,0.454,-0.398,0.087
epiforecasts-ensemble1,,,,,,,,,,,,,,,,,,,,,0.318,0.847,-0.242,-0.190
Geneva-DetGrowth,,,,,,,,,,,,,,,,,,,,,,,,-0.060
UChicagoCHATTOPADHYAY-UnIT,,,,,,,,,,,,,,,,,,,,,,,-0.265,0.114
DDS-NBDS,,,,,,,,,,,,,,,,,,,,,0.661,,0.340,0.286
IUPUI-HkPrMobiDyR,,,,,,,,,,,,,,,,,,,,,,,-0.266,
STH-3PU,,,,,-0.719,-0.735,-0.725,,,,,,,,,,,,,,,,,
