,perc_error_2020-08-17_2021-01-02,perc_error_2020-08-24_2021-01-02,perc_error_2020-08-31_2021-01-02,perc_error_2020-09-07_2021-01-02,perc_error_2020-09-14_2021-01-02,perc_error_2020-09-21_2021-01-02,perc_error_2020-09-28_2021-01-02,perc_error_2020-10-05_2021-01-02,perc_error_2020-10-12_2021-01-02,perc_error_2020-10-19_2021-01-02,perc_error_2020-10-26_2021-01-02,perc_error_2020-11-02_2021-01-02,perc_error_2020-11-09_2021-01-02,perc_error_2020-11-16_2021-01-02,perc_error_2020-11-23_2021-01-02,perc_error_2020-11-30_2021-01-02,perc_error_2020-12-07_2021-01-02,perc_error_2020-12-14_2021-01-02,perc_error_2020-12-21_2021-01-02,perc_error_2020-12-28_2021-01-02
LANL-GrowthRate,,,,,,,,,,,,,,,-0.378,-0.482,-0.015,0.125,0.184,0.366
CU-select,,,,,,,,,,,,,,,,,-0.233,0.053,0.090,-0.108
CEID-Walk,,,,,,,,,,,,,,,,,-0.162,-0.090,0.040,-0.160
Covid19Sim-Simulator,-0.713,-0.797,-0.733,-0.714,-0.744,-0.806,-0.752,-0.455,-0.469,-0.687,-0.169,-0.207,-0.036,,0.075,0.158,-0.220,-0.318,-0.319,-0.432
IowaStateLW-STEM,-0.552,-0.510,-0.506,-0.573,-0.508,-0.549,-0.757,-0.633,-0.646,-0.698,-0.634,-0.601,-0.594,-0.496,-0.249,-0.306,-0.158,0.129,0.230,0.227
JHU_IDD-CovidSP,,,,,,,,,,,,,,,-0.207,-0.313,-0.333,-0.334,0.284,-0.073
RPI_UW-Mob_Collision,,,,,,,,,,,,,,,,,0.020,-0.124,-0.147,-0.236
UA-EpiCovDA,,,,,,,,,,,,,,,,,-0.172,-0.004,-0.094,-0.361
BPagano-RtDriven,,,,,,,,,-0.493,-0.347,-0.321,,-0.277,-0.195,,,0.100,0.249,0.177,0.015
LNQ-ens1,,,,,,,,,,,,,,,,,0.040,0.221,0.168,-0.153
Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,-0.052,0.098,0.272,-0.136
UT-Mobility,,,,,,,,,,,,,,,,,0.034,0.098,0.213,
epiforecasts-ensemble1,,,,,,,,,,,,,,,,,0.076,-0.091,-0.156,-0.428
UMich-RidgeTfReg,,,,,,,,,,,,,,,,,-0.193,0.141,0.223,-0.055
RobertWalraven-ESG,,,,,,,,,,,,,,,,,0.544,0.066,0.157,-0.195
DDS-NBDS,,,,,,,,,,,,,,,,,-0.233,0.403,0.122,-0.089
UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,,,-0.557,0.107,0.394,0.819,-0.142
MSRA-DeepST,,,,,,,,,,,,,,,,,-0.081,,,
TTU-squider,,,,,,,,,,,,,,,,,-0.167,0.092,0.209,0.470
UChicagoCHATTOPADHYAY-UnIT,,,,,,,,,,,,,,,,,,,0.052,
NotreDame-mobility,,,,,,,,,,,,,,,-0.435,-0.446,-0.378,-0.479,,
USACE-ERDC_SEIR,,,,,,,,,,,,,,0.785,0.781,0.759,,,,
WalmartLabsML-LogForecasting,,,,,,,,,,,,,-0.789,-0.784,-0.772,-0.765,-0.716,-0.710,-0.705,
Geneva-DetGrowth,,,,,,,,,,,,,,,,,,,,-0.331
AIpert-pwllnod,,,,,,,,,,,,,,,,,,,0.442,-0.478
STH-3PU,-0.440,-0.461,-0.477,-0.810,-0.549,-0.578,,-0.618,-0.625,-0.641,-0.672,-0.658,,,,,,,,
